Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,6,Wed,2022-11-02,19:45 (17:45),Shakhtar ua,0.2,0–4,2.2,de RB Leipzig,26045,Stadion Miejski Legii Warszawa im. Marsz...,Michael Oliver,Match Report,
Group stage,6,Wed,2022-11-02,20:00,Manchester City eng,2.0,3–1,0.4,es Sevilla,51610,Etihad Stadium,Orel Grinfeeld,Match Report,
Group stage,6,Wed,2022-11-02,20:00,Chelsea eng,2.7,2–1,0.9,hr Dinamo Zagreb,39392,Stamford Bridge,François Letexier,Match Report,
Group stage,6,Wed,2022-11-02,21:00 (20:00),FC Copenhagen dk,1.8,1–1,1.2,de Dortmund,31900,Parken,Əliyar Ağayev,Match Report,
Group stage,6,Wed,2022-11-02,21:00 (20:00),Juventus it,1.6,1–2,0.5,fr Paris S-G,41089,Allianz Stadium,Carlos del Cerro,Match Report,
Group stage,6,Wed,2022-11-02,21:00 (20:00),Milan it,1.8,4–0,1.6,at RB Salzburg,74292,Stadio Giuseppe Meazza,Antonio Matéu Lahoz,Match Report,
Group stage,6,Wed,2022-11-02,22:00 (20:00),Maccabi Haifa il,1.6,1–6,1.5,pt Benfica,30464,Sammy Ofer Stadium,Anthony Taylor,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Tue,2023-02-14,21:00 (20:00),Paris S-G fr,,,,de Bayern Munich,,Parc des Princes,,Head-to-Head,Leg 1 of 2
Round of 16,,Tue,2023-02-14,21:00 (20:00),Milan it,,,,eng Tottenham,,Stadio Giuseppe Meazza,,Head-to-Head,Leg 1 of 2
Round of 16,,Wed,2023-02-15,21:00 (20:00),Dortmund de,,,,eng Chelsea,,Signal Iduna Park,,Head-to-Head,Leg 1 of 2
Round of 16,,Wed,2023-02-15,21:00 (20:00),Club Brugge be,,,,pt Benfica,,Jan Breydelstadion,,Head-to-Head,Leg 1 of 2
Round of 16,,Tue,2023-02-21,20:00,Liverpool eng,,,,es Real Madrid,,Anfield,,Head-to-Head,Leg 1 of 2
Round of 16,,Tue,2023-02-21,21:00 (20:00),Eint Frankfurt de,,,,it Napoli,,Deutsche Bank Park,,Head-to-Head,Leg 1 of 2
Round of 16,,Wed,2023-02-22,21:00 (20:00),RB Leipzig de,,,,eng Manchester City,,Red Bull Arena,,Head-to-Head,Leg 1 of 2
Round of 16,,Wed,2023-02-22,21:00 (20:00),Inter it,,,,pt Porto,,Stadio Giuseppe Meazza,,Head-to-Head,Leg 1 of 2
Round of 16,,Tue,2023-03-07,20:00,Chelsea eng,,,,de Dortmund,,Stamford Bridge,,Head-to-Head,Leg 2 of 2
Round of 16,,Tue,2023-03-07,20:00,Benfica pt,,,,be Club Brugge,,Estádio do Sport Lisboa e Benfica,,Head-to-Head,Leg 2 of 2
Round of 16,,Wed,2023-03-08,20:00,Tottenham eng,,,,it Milan,,Tottenham Hotspur Stadium,,Head-to-Head,Leg 2 of 2
Round of 16,,Wed,2023-03-08,21:00 (20:00),Bayern Munich de,,,,fr Paris S-G,,Allianz Arena,,Head-to-Head,Leg 2 of 2
Round of 16,,Tue,2023-03-14,20:00,Porto pt,,,,it Inter,,Estádio Do Dragão,,Head-to-Head,Leg 2 of 2
Round of 16,,Tue,2023-03-14,20:00,Manchester City eng,,,,de RB Leipzig,,Etihad Stadium,,Head-to-Head,Leg 2 of 2
Round of 16,,Wed,2023-03-15,21:00 (20:00),Napoli it,,,,de Eint Frankfurt,,Stadio Diego Armando Maradona,,Head-to-Head,Leg 2 of 2
Round of 16,,Wed,2023-03-15,21:00 (20:00),Real Madrid es,,,,eng Liverpool,,Estadio Santiago Bernabéu,,Head-to-Head,Leg 2 of 2
