Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
17,Mon,2023-01-02,15:00 (14:00),Strasbourg,,,,Troyes,,Stade de la Meinau,,Head-to-Head,
17,Mon,2023-01-02,17:00 (16:00),Lille,,,,Reims,,Decathlon Arena - Stade Pierre-Mauroy,,Head-to-Head,
17,Mon,2023-01-02,19:00 (18:00),Montpellier,,,,Marseille,,Stade de la Mosson,,Head-to-Head,
17,Mon,2023-01-02,21:00 (20:00),Rennes,,,,Nice,,Roazhon Park,,Head-to-Head,
,,,,,,,,,,,,,
18,Wed,2023-01-11,,Troyes,,,,Marseille,,,,Head-to-Head,
18,Wed,2023-01-11,,Nice,,,,Montpellier,,,,Head-to-Head,
18,Wed,2023-01-11,,Clermont Foot,,,,Rennes,,,,Head-to-Head,
18,Wed,2023-01-11,,Ajaccio,,,,Reims,,,,Head-to-Head,
18,Wed,2023-01-11,,Auxerre,,,,Toulouse,,,,Head-to-Head,
18,Wed,2023-01-11,,Paris S-G,,,,Angers,,,,Head-to-Head,
18,Wed,2023-01-11,,Brest,,,,Lille,,,,Head-to-Head,
18,Wed,2023-01-11,,Lorient,,,,Monaco,,,,Head-to-Head,
18,Wed,2023-01-11,,Nantes,,,,Lyon,,,,Head-to-Head,
18,Wed,2023-01-11,,Strasbourg,,,,Lens,,,,Head-to-Head,
,,,,,,,,,,,,,
19,Sun,2023-01-15,,Toulouse,,,,Brest,,,,Head-to-Head,
19,Sun,2023-01-15,,Lille,,,,Troyes,,,,Head-to-Head,
19,Sun,2023-01-15,,Montpellier,,,,Nantes,,,,Head-to-Head,
19,Sun,2023-01-15,,Lyon,,,,Strasbourg,,,,Head-to-Head,
19,Sun,2023-01-15,,Monaco,,,,Ajaccio,,,,Head-to-Head,
19,Sun,2023-01-15,,Lens,,,,Auxerre,,,,Head-to-Head,
19,Sun,2023-01-15,,Rennes,,,,Paris S-G,,,,Head-to-Head,
19,Sun,2023-01-15,,Reims,,,,Nice,,,,Head-to-Head,
19,Sun,2023-01-15,,Angers,,,,Clermont Foot,,,,Head-to-Head,
19,Sun,2023-01-15,,Marseille,,,,Lorient,,,,Head-to-Head,
,,,,,,,,,,,,,
20,Sun,2023-01-29,,Marseille,,,,Monaco,,,,Head-to-Head,
20,Sun,2023-01-29,,Ajaccio,,,,Lyon,,,,Head-to-Head,
20,Sun,2023-01-29,,Clermont Foot,,,,Nantes,,,,Head-to-Head,
