Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
21,Sun,2023-01-01,,Nantes,,,,Marseille,,,,Head-to-Head,
21,Sun,2023-01-01,,Lyon,,,,Brest,,,,Head-to-Head,
21,Sun,2023-01-01,,Reims,,,,Lorient,,,,Head-to-Head,
,,,,,,,,,,,,,
18,Wed,2023-01-11,,Troyes,,,,Marseille,,,,Head-to-Head,
18,Wed,2023-01-11,,Paris S-G,,,,Angers,,,,Head-to-Head,
18,Wed,2023-01-11,,Nice,,,,Montpellier,,,,Head-to-Head,
18,Wed,2023-01-11,,Strasbourg,,,,Lens,,,,Head-to-Head,
18,Wed,2023-01-11,,Ajaccio,,,,Reims,,,,Head-to-Head,
18,Wed,2023-01-11,,Auxerre,,,,Toulouse,,,,Head-to-Head,
18,Wed,2023-01-11,,Brest,,,,Lille,,,,Head-to-Head,
18,Wed,2023-01-11,,Lorient,,,,Monaco,,,,Head-to-Head,
18,Wed,2023-01-11,,Clermont Foot,,,,Rennes,,,,Head-to-Head,
18,Wed,2023-01-11,,Nantes,,,,Lyon,,,,Head-to-Head,
,,,,,,,,,,,,,
19,Sun,2023-01-15,,Monaco,,,,Ajaccio,,,,Head-to-Head,
19,Sun,2023-01-15,,Reims,,,,Nice,,,,Head-to-Head,
19,Sun,2023-01-15,,Angers,,,,Clermont Foot,,,,Head-to-Head,
19,Sun,2023-01-15,,Lens,,,,Auxerre,,,,Head-to-Head,
19,Sun,2023-01-15,,Montpellier,,,,Nantes,,,,Head-to-Head,
19,Sun,2023-01-15,,Marseille,,,,Lorient,,,,Head-to-Head,
19,Sun,2023-01-15,,Lyon,,,,Strasbourg,,,,Head-to-Head,
19,Sun,2023-01-15,,Toulouse,,,,Brest,,,,Head-to-Head,
19,Sun,2023-01-15,,Rennes,,,,Paris S-G,,,,Head-to-Head,
19,Sun,2023-01-15,,Lille,,,,Troyes,,,,Head-to-Head,
,,,,,,,,,,,,,
20,Sun,2023-01-29,,Lorient,,,,Rennes,,,,Head-to-Head,
20,Sun,2023-01-29,,Troyes,,,,Lens,,,,Head-to-Head,
20,Sun,2023-01-29,,Ajaccio,,,,Lyon,,,,Head-to-Head,
20,Sun,2023-01-29,,Brest,,,,Angers,,,,Head-to-Head,
20,Sun,2023-01-29,,Marseille,,,,Monaco,,,,Head-to-Head,
20,Sun,2023-01-29,,Auxerre,,,,Montpellier,,,,Head-to-Head,
20,Sun,2023-01-29,,Clermont Foot,,,,Nantes,,,,Head-to-Head,
20,Sun,2023-01-29,,Strasbourg,,,,Toulouse,,,,Head-to-Head,
20,Sun,2023-01-29,,Paris S-G,,,,Reims,,,,Head-to-Head,
20,Sun,2023-01-29,,Nice,,,,Lille,,,,Head-to-Head,
,,,,,,,,,,,,,
17,Wed,2023-02-01,,Montpellier,,,,Marseille,,,,Head-to-Head,
17,Wed,2023-02-01,,Angers,,,,Lorient,,,,Head-to-Head,
17,Wed,2023-02-01,,Strasbourg,,,,Troyes,,,,Head-to-Head,
,,,,,,,,,,,,,
21,Wed,2023-02-01,,Monaco,,,,Auxerre,,,,Head-to-Head,
21,Wed,2023-02-01,,Lille,,,,Clermont Foot,,,,Head-to-Head,
21,Wed,2023-02-01,,Toulouse,,,,Troyes,,,,Head-to-Head,
21,Wed,2023-02-01,,Angers,,,,Ajaccio,,,,Head-to-Head,
21,Wed,2023-02-01,,Rennes,,,,Strasbourg,,,,Head-to-Head,
21,Wed,2023-02-01,,Montpellier,,,,Paris S-G,,,,Head-to-Head,
21,Wed,2023-02-01,,Lens,,,,Nice,,,,Head-to-Head,
,,,,,,,,,,,,,
22,Sun,2023-02-05,,Rennes,,,,Lille,,,,Head-to-Head,
22,Sun,2023-02-05,,Lorient,,,,Angers,,,,Head-to-Head,
22,Sun,2023-02-05,,Ajaccio,,,,Nantes,,,,Head-to-Head,
22,Sun,2023-02-05,,Clermont Foot,,,,Monaco,,,,Head-to-Head,
22,Sun,2023-02-05,,Paris S-G,,,,Toulouse,,,,Head-to-Head,
22,Sun,2023-02-05,,Brest,,,,Lens,,,,Head-to-Head,
