Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sat,2022-11-12,18:30 (17:30),Schalke 04,,,,Bayern Munich,,Veltins-Arena,,Head-to-Head,
15,Sun,2022-11-13,15:30 (14:30),Mainz 05,,,,Eint Frankfurt,,Opel Arena,,Head-to-Head,
15,Sun,2022-11-13,17:30 (16:30),Freiburg,,,,Union Berlin,,Europa-Park Stadion,,Head-to-Head,
,,,,,,,,,,,,,
16,Fri,2023-01-20,20:30 (19:30),RB Leipzig,,,,Bayern Munich,,Red Bull Arena,,Head-to-Head,
16,Sat,2023-01-21,15:30 (14:30),Wolfsburg,,,,Freiburg,,Volkswagen Arena,,Head-to-Head,
16,Sat,2023-01-21,15:30 (14:30),Stuttgart,,,,Mainz 05,,Mercedes-Benz Arena,,Head-to-Head,
16,Sat,2023-01-21,15:30 (14:30),Eint Frankfurt,,,,Schalke 04,,Commerzbank-Arena,,Head-to-Head,
16,Sat,2023-01-21,15:30 (14:30),Bochum,,,,Hertha BSC,,Vonovia Ruhrstadion,,Head-to-Head,
16,Sat,2023-01-21,15:30 (14:30),Union Berlin,,,,Hoffenheim,,Stadion An der Alten Försterei,,Head-to-Head,
16,Sat,2023-01-21,18:30 (17:30),Köln,,,,Werder Bremen,,RheinEnergieSTADION,,Head-to-Head,
16,Sun,2023-01-22,15:30 (14:30),Dortmund,,,,Augsburg,,Signal Iduna Park,,Head-to-Head,
16,Sun,2023-01-22,17:30 (16:30),M'Gladbach,,,,Leverkusen,,Stadion im Borussia-Park,,Head-to-Head,
,,,,,,,,,,,,,
17,Tue,2023-01-24,,Freiburg,,,,Eint Frankfurt,,Europa-Park Stadion,,Head-to-Head,
17,Tue,2023-01-24,,Bayern Munich,,,,Köln,,Allianz Arena,,Head-to-Head,
17,Tue,2023-01-24,,Hoffenheim,,,,Stuttgart,,PreZero Arena,,Head-to-Head,
17,Tue,2023-01-24,,Schalke 04,,,,RB Leipzig,,Veltins-Arena,,Head-to-Head,
17,Tue,2023-01-24,,Leverkusen,,,,Bochum,,BayArena,,Head-to-Head,
17,Tue,2023-01-24,,Mainz 05,,,,Dortmund,,Opel Arena,,Head-to-Head,
17,Tue,2023-01-24,,Werder Bremen,,,,Union Berlin,,Weserstadion,,Head-to-Head,
17,Tue,2023-01-24,,Hertha BSC,,,,Wolfsburg,,Olympiastadion Berlin,,Head-to-Head,
17,Tue,2023-01-24,,Augsburg,,,,M'Gladbach,,WWK Arena,,Head-to-Head,
,,,,,,,,,,,,,
18,Sat,2023-01-28,,RB Leipzig,,,,Stuttgart,,Red Bull Arena,,Head-to-Head,
18,Sat,2023-01-28,,Werder Bremen,,,,Wolfsburg,,Weserstadion,,Head-to-Head,
