,ID,Category,Date,Name,Score,Active
247,247,Hockey,2022-11-15,Anaheim Ducks - Detroit Red Wings,3 - 2,False
248,248,Hockey,2022-11-15,Buffalo Sabres - Vancouver Canucks,4 - 5,False
249,249,Hockey,2022-11-15,Columbus Blue Jackets - Philadelphia Flyers,5 - 4,False
250,250,Hockey,2022-11-15,Florida Panthers - Washington Capitals,5 - 2,False
251,251,Hockey,2022-11-15,Montreal Canadiens - New Jersey Devils,1 - 5,False
252,252,Hockey,2022-11-15,Nashville Predators - Minnesota Wild,2 - 1,False
253,253,Hockey,2022-11-15,Pittsburgh Penguins - Toronto Maple Leafs,2 - 5,False
254,254,Hockey,2022-11-15,Tampa Bay Lightning - Dallas Stars,5 - 4,False
255,255,Hockey,2022-11-15,Vegas Golden Knights - San Jose Sharks,2 - 5,False
256,256,Hockey,2022-11-16,Chicago Blackhawks - St. Louis Blues,2 - 5,False
257,257,Hockey,2022-11-16,Edmonton Oilers - Los Angeles Kings,1 - 3,False
258,258,Hockey,2022-11-16,Ottawa Senators - Buffalo Sabres,4 - 1,False
259,259,Hockey,2022-11-17,Boston Bruins - Philadelphia Flyers,4 - 1,False
260,260,Hockey,2022-11-17,Carolina Hurricanes - Colorado Avalanche,2 - 3,False
261,261,Hockey,2022-11-17,Columbus Blue Jackets - Montreal Canadiens,6 - 4,False
262,262,Hockey,2022-11-17,Florida Panthers - Dallas Stars,4 - 6,False
263,263,Hockey,2022-11-17,Minnesota Wild - Pittsburgh Penguins,4 - 6,False
264,264,Hockey,2022-11-17,Nashville Predators - New York Islanders,5 - 4,False
265,265,Hockey,2022-11-17,Seattle Kraken - New York Rangers,3 - 2,False
266,266,Hockey,2022-11-17,San Jose Sharks - Detroit Red Wings,4 - 7,False
267,267,Hockey,2022-11-17,St. Louis Blues - Washington Capitals,5 - 4,False
268,268,Hockey,2022-11-17,Tampa Bay Lightning - Calgary Flames,4 - 1,False
269,269,Hockey,2022-11-17,Toronto Maple Leafs - New Jersey Devils,2 - 3,False
270,270,Hockey,2022-11-17,Vegas Golden Knights - Arizona Coyotes,4 - 1,False
271,271,Hockey,2022-11-17,Winnipeg Jets - Anaheim Ducks,3 - 2,False
272,272,Hockey,2022-11-18,Vancouver Canucks - Los Angeles Kings,4 - 1,False
273,273,Hockey,2022-11-19,Boston Bruins - Chicago Blackhawks,6 - 1,False
274,274,Hockey,2022-11-19,Columbus Blue Jackets - Detroit Red Wings,1 - 6,False
275,275,Hockey,2022-11-19,Dallas Stars - New York Islanders,5 - 2,False
276,276,Hockey,2022-11-19,Edmonton Oilers - Vegas Golden Knights,4 - 3,False
277,277,Hockey,2022-11-19,Florida Panthers - Calgary Flames,4 - 5,False
278,278,Hockey,2022-11-19,Minnesota Wild - Carolina Hurricanes,2 - 1,False
279,279,Hockey,2022-11-19,Montreal Canadiens - Philadelphia Flyers,5 - 4,False
280,280,Hockey,2022-11-19,Nashville Predators - Tampa Bay Lightning,2 - 3,False
281,281,Hockey,2022-11-19,Ottawa Senators - New Jersey Devils,1 - 5,False
282,282,Hockey,2022-11-19,Seattle Kraken - Los Angeles Kings,3 - 2,False
283,283,Hockey,2022-11-19,San Jose Sharks - New York Rangers,1 - 2,False
284,284,Hockey,2022-11-19,St. Louis Blues - Anaheim Ducks,6 - 2,False
285,285,Hockey,2022-11-19,Toronto Maple Leafs - Buffalo Sabres,5 - 2,False
286,286,Hockey,2022-11-19,Winnipeg Jets - Pittsburgh Penguins,0 - 3,False
287,287,Hockey,2022-11-19,Washington Capitals - Colorado Avalanche,0 - 4,False
288,288,Hockey,2022-11-20,Columbus Blue Jackets - Florida Panthers,5 - 3,False
289,289,Hockey,2022-11-20,Chicago Blackhawks - Pittsburgh Penguins,3 - 5,False
290,290,Hockey,2022-11-21,Dallas Stars - Colorado Avalanche,2 - 3,False
291,291,Hockey,2022-11-21,New Jersey Devils - Edmonton Oilers,5 - 2,False
292,292,Hockey,2022-11-21,Nashville Predators - Arizona Coyotes,4 - 3,False
293,293,Hockey,2022-11-21,Philadelphia Flyers - Calgary Flames,2 - 5,False
294,294,Hockey,2022-11-21,San Jose Sharks - Ottawa Senators,5 - 1,False
295,295,Hockey,2022-11-21,St. Louis Blues - Anaheim Ducks,3 - 1,False
296,296,Hockey,2022-11-21,Tampa Bay Lightning - Boston Bruins,3 - 5,False
297,297,Hockey,2022-11-21,Toronto Maple Leafs - New York Islanders,2 - 3,False
298,298,Hockey,2022-11-21,Vancouver Canucks - Vegas Golden Knights,4 - 5,False
299,299,Hockey,2022-11-21,Winnipeg Jets - Carolina Hurricanes,4 - 3,False
300,300,Hockey,2022-11-22,Los Angeles Kings - New York Rangers,3 - 5,False
301,301,Hockey,2022-11-22,Montreal Canadiens - Buffalo Sabres,2 - 7,False
302,302,Hockey,2022-11-23,Anaheim Ducks - New York Rangers,3 - 2,False
303,303,Hockey,2022-11-23,Buffalo Sabres - St. Louis Blues,6 - 2,False
304,304,Hockey,2022-11-23,Carolina Hurricanes - Arizona Coyotes,0 - 4,False
305,305,Hockey,2022-11-23,Columbus Blue Jackets - Montreal Canadiens,1 - 3,False
306,306,Hockey,2022-11-23,Colorado Avalanche - Vancouver Canucks,3 - 4,False
307,307,Hockey,2022-11-23,Dallas Stars - Chicago Blackhawks,6 - 4,False
308,308,Hockey,2022-11-23,Detroit Red Wings - Nashville Predators,3 - 0,False
309,309,Hockey,2022-11-23,Florida Panthers - Boston Bruins,5 - 2,False
310,310,Hockey,2022-11-23,Minnesota Wild - Winnipeg Jets,6 - 1,False
311,311,Hockey,2022-11-23,New Jersey Devils - Toronto Maple Leafs,1 - 2,False
312,312,Hockey,2022-11-23,New York Islanders - Edmonton Oilers,3 - 0,False
313,313,Hockey,2022-11-23,Pittsburgh Penguins - Calgary Flames,2 - 1,False
314,314,Hockey,2022-11-23,Seattle Kraken - San Jose Sharks,8 - 5,False
315,315,Hockey,2022-11-23,Vegas Golden Knights - Ottawa Senators,4 - 1,False
316,316,Hockey,2022-11-23,Washington Capitals - Philadelphia Flyers,3 - 2,False
317,317,Hockey,2022-11-25,Anaheim Ducks - Ottawa Senators,1 - 5,False
318,318,Hockey,2022-11-25,Boston Bruins - Carolina Hurricanes,3 - 2,False
319,319,Hockey,2022-11-25,Buffalo Sabres - New Jersey Devils,1 - 3,False
320,320,Hockey,2022-11-25,Columbus Blue Jackets - New York Islanders,2 - 3,False
